,G,Date,Age,Tm,Location,Opp,Margin,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
31,32,2017-01-06,32,CLE,@,BRK,W (+8),1,35:17,14,20,0.7,0,1,.000,8,10,.800,0,9,9,6,3,0,5,2,36,30.9,20
32,33,2017-01-08,32,CLE,@,PHO,W (+4),1,39:31,11,17,0.647,2,4,.500,4,6,.667,3,5,8,4,1,0,7,3,28,18.9,-2
33,34,2017-01-10,32,CLE,@,UTA,L (-8),1,36:55,10,20,0.5,3,6,.500,6,7,.857,1,5,6,5,4,0,4,0,29,24.3,-8
34,35,2017-01-11,32,CLE,@,POR,L (-16),1,30:31,5,12,0.417,2,5,.400,8,9,.889,1,10,11,4,1,1,5,1,20,16.0,-7
35,36,2017-01-13,32,CLE,@,SAC,W (+12),1,41:41,6,12,0.5,1,4,.250,3,3,1.000,0,2,2,15,1,1,5,2,16,17.0,16
36,37,2017-01-16,32,CLE,@,GSW,L (-35),1,35:00,6,18,0.333,1,4,.250,7,10,.700,2,6,8,2,1,0,6,1,20,7.8,-32
37,38,2017-01-19,32,CLE,H,PHO,W (+15),1,39:08,8,12,0.667,0,2,.000,5,8,.625,0,9,9,15,1,2,4,2,21,25.4,14
38,39,2017-01-21,32,CLE,H,SAS,L (-3),1,45:20,11,16,0.688,2,5,.400,5,7,.714,0,6,6,7,2,0,7,5,29,21.1,-16
39,40,2017-01-23,32,CLE,@,NOP,L (-2),1,43:43,11,21,0.524,1,4,.250,3,4,.750,2,8,10,12,2,0,6,2,26,22.7,-11
40,41,2017-01-25,32,CLE,H,SAC,L (-4),1,44:49,8,15,0.533,0,3,.000,8,11,.727,4,9,13,11,2,1,5,3,24,25.2,-1
41,42,2017-01-27,32,CLE,H,BRK,W (+8),1,34:14,13,18,0.722,1,3,.333,4,7,.571,0,5,5,11,0,0,5,1,31,26.2,22
42,43,2017-01-29,32,CLE,H,OKC,W (+16),1,36:50,9,18,0.5,0,2,.000,7,10,.700,1,13,14,8,1,0,2,1,25,23.6,10
43,44,2017-01-30,32,CLE,@,DAL,L (-7),1,37:17,9,19,0.474,1,6,.167,4,8,.500,0,9,9,9,2,0,5,0,23,17.7,-8
44,45,2017-02-01,32,CLE,H,MIN,W (+28),1,34:28,11,14,0.786,1,2,.500,4,7,.571,0,8,8,12,2,1,2,1,27,31.5,16
45,46,2017-02-04,32,CLE,@,NYK,W (+7),1,39:35,12,20,0.6,4,8,.500,4,5,.800,0,5,5,10,0,0,5,1,32,25.5,11
46,47,2017-02-06,32,CLE,@,WAS,W (+5),1,42:04,12,18,0.667,6,8,.750,2,5,.400,0,7,7,17,2,2,6,6,32,32.0,0
47,48,2017-02-08,32,CLE,@,IND,W (+15),1,38:16,9,16,0.563,1,2,.500,6,8,.750,1,5,6,9,1,1,4,2,25,22.0,8
48,49,2017-02-09,32,CLE,@,OKC,L (-9),1,40:53,8,19,0.421,1,4,.250,1,3,.333,1,4,5,7,2,2,3,1,18,13.9,-4
49,50,2017-02-11,32,CLE,H,DEN,W (+16),1,33:09,11,16,0.688,1,1,1.000,4,4,1.000,0,5,5,12,2,0,6,1,27,25.7,26
50,51,2017-02-14,32,CLE,@,MIN,W (+8),1,39:30,10,14,0.714,2,3,.667,3,6,.500,1,7,8,14,0,0,6,3,25,23.4,11
51,52,2017-02-15,32,CLE,H,IND,W (+9),1,32:35,12,17,0.706,4,5,.800,3,4,.750,0,5,5,4,1,0,4,2,31,24.0,9
52,53,2017-02-23,32,CLE,H,NYK,W (+15),1,37:06,7,11,0.636,0,2,.000,4,6,.667,0,13,13,15,0,3,6,1,18,22.4,10
53,54,2017-02-27,32,CLE,H,MIL,W (+7),1,37:11,8,12,0.667,1,2,.500,7,9,.778,0,10,10,6,0,0,3,1,24,21.8,8
54,55,2017-03-01,32,CLE,@,BOS,L (-4),1,40:02,10,21,0.476,3,6,.500,5,8,.625,5,8,13,10,1,1,4,3,28,25.5,-3
55,56,2017-03-03,32,CLE,@,ATL,W (+5),1,39:10,14,27,0.519,6,10,.600,4,8,.500,1,12,13,8,0,0,2,4,38,29.4,5
56,57,2017-03-06,32,CLE,H,MIA,L (-8),1,38:41,11,22,0.5,2,5,.400,6,10,.600,3,14,17,6,1,1,3,2,30,25.8,14
57,58,2017-03-09,32,CLE,@,DET,L (-5),1,39:05,12,22,0.545,0,6,.000,5,8,.625,4,10,14,10,1,0,3,1,29,27.6,18
58,59,2017-03-11,32,CLE,@,ORL,W (+12),1,37:34,8,14,0.571,2,5,.400,6,10,.600,0,12,12,12,0,1,4,3,24,23.3,12
59,60,2017-03-12,32,CLE,@,HOU,L (-5),1,40:10,12,20,0.6,4,11,.364,2,3,.667,0,7,7,5,2,0,8,2,30,19.2,-9
60,61,2017-03-14,32,CLE,H,DET,W (+32),1,28:24,6,12,0.5,0,2,.000,4,5,.800,0,11,11,12,0,0,2,0,16,19.3,22
